,State,Sex,Year,Name,Number
5354205,TX,M,1990,Joshua,3246
5354206,TX,M,1990,Matthew,2665
5354207,TX,M,1990,David,2626
5354208,TX,M,1990,Jose,2450
5354209,TX,M,1990,Justin,2392
5354210,TX,M,1990,Daniel,2332
5354211,TX,M,1990,John,2288
5354212,TX,M,1990,James,2207
5354213,TX,M,1990,Robert,2022
5354214,TX,M,1990,Jonathan,1897
5354215,TX,M,1990,Andrew,1864
5354216,TX,M,1990,Jacob,1670
5354217,TX,M,1990,Ryan,1670
5354218,TX,M,1990,Juan,1647
5354219,TX,M,1990,Joseph,1623
5354220,TX,M,1990,William,1602
5354221,TX,M,1990,Eric,1427
5354222,TX,M,1990,Brandon,1368
5354223,TX,M,1990,Anthony,1285
5354224,TX,M,1990,Aaron,1246
5354225,TX,M,1990,Cody,1231
5354226,TX,M,1990,Zachary,1216
5354227,TX,M,1990,Nicholas,1206
5355795,TX,M,1991,Michael,3796
5355796,TX,M,1991,Christopher,3547
5355797,TX,M,1991,Joshua,3229
5355798,TX,M,1991,Matthew,2576
5355799,TX,M,1991,Jose,2568
5355800,TX,M,1991,David,2443
5355801,TX,M,1991,John,2321
5355802,TX,M,1991,Justin,2237
5355803,TX,M,1991,Daniel,2229
5355804,TX,M,1991,James,2048
5355805,TX,M,1991,Jonathan,1939
5355806,TX,M,1991,Robert,1873
5355807,TX,M,1991,Jacob,1822
5355808,TX,M,1991,Andrew,1740
5355809,TX,M,1991,Ryan,1739
5355810,TX,M,1991,Juan,1670
5355811,TX,M,1991,Joseph,1603
5355812,TX,M,1991,William,1528
5355813,TX,M,1991,Brandon,1522
5355814,TX,M,1991,Cody,1457
5355815,TX,M,1991,Eric,1334
5355816,TX,M,1991,Anthony,1325
5355817,TX,M,1991,Zachary,1271
5355818,TX,M,1991,Nicholas,1227
5355819,TX,M,1991,Aaron,1207
5357459,TX,M,1992,Michael,3263
5357460,TX,M,1992,Christopher,3243
5357461,TX,M,1992,Joshua,2858
5357462,TX,M,1992,Jose,2608
5357463,TX,M,1992,Matthew,2366
5357464,TX,M,1992,David,2250
5357465,TX,M,1992,John,2139
5357466,TX,M,1992,Daniel,2056
5357467,TX,M,1992,James,1988
5357468,TX,M,1992,Justin,1981
5357469,TX,M,1992,Jonathan,1911
5357470,TX,M,1992,Jacob,1859
5357471,TX,M,1992,Andrew,1846
5357472,TX,M,1992,Brandon,1773
5357473,TX,M,1992,Juan,1726
5357474,TX,M,1992,Robert,1651
5357475,TX,M,1992,Ryan,1615
5357476,TX,M,1992,William,1553
5357477,TX,M,1992,Joseph,1497
5357478,TX,M,1992,Zachary,1491
5357479,TX,M,1992,Cody,1398
5357480,TX,M,1992,Tyler,1383
5357481,TX,M,1992,Anthony,1334
5357482,TX,M,1992,Aaron,1327
5357483,TX,M,1992,Nicholas,1237
5359176,TX,M,1993,Michael,3172
5359177,TX,M,1993,Christopher,2939
5359178,TX,M,1993,Jose,2705
5359179,TX,M,1993,Joshua,2588
5359180,TX,M,1993,David,2236
5359181,TX,M,1993,Matthew,2195
5359182,TX,M,1993,Daniel,2134
5359183,TX,M,1993,John,2046
5359184,TX,M,1993,Jacob,1970
5359185,TX,M,1993,Brandon,1862
5359186,TX,M,1993,Jonathan,1854
5359187,TX,M,1993,James,1783
5359188,TX,M,1993,Justin,1762
5359189,TX,M,1993,Juan,1746
5359190,TX,M,1993,Andrew,1695
5359191,TX,M,1993,Ryan,1660
5359192,TX,M,1993,Robert,1642
5359193,TX,M,1993,Zachary,1563
5359194,TX,M,1993,Joseph,1530
5359195,TX,M,1993,William,1478
5359196,TX,M,1993,Tyler,1438
5359197,TX,M,1993,Cody,1361
5359198,TX,M,1993,Nicholas,1333
5359199,TX,M,1993,Anthony,1305
5359200,TX,M,1993,Christian,1245
5359201,TX,M,1993,Aaron,1235
5359202,TX,M,1993,Austin,1209
5360882,TX,M,1994,Michael,2869
5360883,TX,M,1994,Christopher,2868
5360884,TX,M,1994,Jose,2759
5360885,TX,M,1994,Joshua,2484
5360886,TX,M,1994,Daniel,2227
5360887,TX,M,1994,Matthew,2207
5360888,TX,M,1994,Jacob,2155
5360889,TX,M,1994,David,2092
5360890,TX,M,1994,Brandon,2048
5360891,TX,M,1994,John,1971
5360892,TX,M,1994,Juan,1853
5360893,TX,M,1994,Jonathan,1805
5360894,TX,M,1994,James,1732
5360895,TX,M,1994,Justin,1675
5360896,TX,M,1994,Zachary,1567
5360897,TX,M,1994,Andrew,1546
5360898,TX,M,1994,Tyler,1515
5360899,TX,M,1994,Ryan,1512
5360900,TX,M,1994,Robert,1490
5360901,TX,M,1994,William,1487
5360902,TX,M,1994,Joseph,1454
5360903,TX,M,1994,Austin,1355
5360904,TX,M,1994,Aaron,1320
5360905,TX,M,1994,Nicholas,1309
5360906,TX,M,1994,Cody,1269
5360907,TX,M,1994,Christian,1234
5360908,TX,M,1994,Anthony,1230
5360909,TX,M,1994,Luis,1219
5362624,TX,M,1995,Michael,2753
5362625,TX,M,1995,Christopher,2684
